_id,Set,Number,Name,Color,Cmc,Mana,Type,Subtype(s)
65047ed02ed29fcf3e3df1f7,,29,Northern Paladin,White,4,{2} {w} {w},Creature,Human Knight
65047ed02ed29fcf3e3df1f8,,30,Pearled Unicorn,White,3,{2} {w},Creature,Unicorn
65047ed02ed29fcf3e3df1f9,,31,Personal Incarnation,White,6,{3} {w} {w} {w},Creature,Avatar Incarnation
65047ed02ed29fcf3e3df1fa,,32,Purelance,White,1,{w},Instant,
65047ed02ed29fcf3e3df1fb,,33,Red Ward,White,1,{w},Enchantment,Aura
65047ed02ed29fcf3e3df1fc,,34,Resurrection,White,4,{2} {w} {w},Sorcery,
65047ed02ed29fcf3e3df1fd,,35,Reverse Damage,White,3,{2} {w},Instant,
65047ed02ed29fcf3e3df1fe,,36,Righteousness,White,1,{w},Instant,
65047ed02ed29fcf3e3df1ff,,37,Samite Healer,White,2,{1} {w},Creature,Human Cleric
65047ed02ed29fcf3e3df200,,38,Savannah Lions,White,1,{w},Creature,Cat
65047ed02ed29fcf3e3df201,,39,Serra Angel,White,5,{3} {w} {w},Creature,Angel
65047ed02ed29fcf3e3df202,,40,Swords to Plowshares,White,1,{w},Instant,
65047ed02ed29fcf3e3df203,,41,Veteran Bodygaurd,White,5,{3} {w} {w},Creature,Human
65047ed02ed29fcf3e3df204,,42,Wall of Swords,White,4,{3} {w},Creature,Wall
65047ed02ed29fcf3e3df205,,43,White Knight,White,2,{w} {w},Creature,Human Knight
65047ed02ed29fcf3e3df206,,44,White Ward,White,1,{w},Enchantment,Aura
65047ed02ed29fcf3e3df207,,45,Wrath of God,White,4,{2} {w} {w},Sorcery,
65047ed02ed29fcf3e3df208,,46,Air Elemental,Blue,5,{3} {blu} {blu},Creature,Elemental
65047ed02ed29fcf3e3df209,,47,Ancestral Recall,Blue,1,{blu},Instant,
65047ed02ed29fcf3e3df20a,,48,Animate Artifact,Blue,4,{3} {blu},Enchantment,Aura
65047ed02ed29fcf3e3df20b,,49,Blue Elemental Blast,Blue,1,{blu},Instant,
65047ed02ed29fcf3e3df20c,,50,Braingeyeser,Blue,2,{x} {blu} {blu},Sorcery,
65047ed02ed29fcf3e3df20d,,51,Clone,Blue,4,{3} {blu},Creature,Shapeshifter
65047ed02ed29fcf3e3df20e,,52,Control Magic,Blue,4,{2} {blu} {blu},Enchantment,Aura
65047ed02ed29fcf3e3df20f,,53,Copy Artifact,Blue,2,{1} {blu},Enchantment,
65047ed02ed29fcf3e3df210,,54,Counterspell,Blue,2,{blu} {blu},Instant,
65047ed02ed29fcf3e3df211,,55,Creature Bond,Blue,2,{1} {blu},Enchantment,Aura
65047ed02ed29fcf3e3df212,,56,Drain Power,Blue,2,{blu} {blu},Sorcery,
65047ed02ed29fcf3e3df213,,57,Feedback,Blue,3,{1} {blu} {blu},Enchantment,Aura
65047ed02ed29fcf3e3df214,,58,Flight,Blue,1,{blu},Enchantment,Aura
65047ed02ed29fcf3e3df215,,59,Invisibility,Blue,2,{blu} {blu},Enchantment,Aura
65047ed02ed29fcf3e3df216,,60,Jump,Blue,1,{blu},Instant,
65047ed02ed29fcf3e3df217,,61,Lifetap,Blue,2,{blu} {blu},Enchantment,
65047ed02ed29fcf3e3df218,,62,Lord of Atlantis,Blue,2,{blu} {blu},Creature,Merfolk
65047ed02ed29fcf3e3df219,,63,Magical Hack,Blue,1,{blu},Instant,
65047ed02ed29fcf3e3df21a,,64,Mahamoti Djinn,Blue,6,{4} {blu} {blu},Creature,Djinn
65047ed02ed29fcf3e3df21b,,65,Mana Short,Blue,3,{2} {blu},Instant,
65047ed02ed29fcf3e3df21c,,66,Merfolk of the Pearl Trident,Blue,1,{blu},Creature,Merfolk
65047ed02ed29fcf3e3df21d,,67,Phantasamal Forces,Blue,4,{3} {blu},Creature,Illusion
65047ed02ed29fcf3e3df21e,,68,Phantasamal Terrain,Blue,2,{blu} {blu},Enchantment,Aura
65047ed02ed29fcf3e3df21f,,69,Phantom Monster,Blue,4,{3} {blu},Creature,Illusion
65047ed02ed29fcf3e3df220,,70,Pirate Ship,Blue,5,{4} {blu},Creature,Human Pirate
65047ed02ed29fcf3e3df221,,71,Power Leak,Blue,2,{1} {blu},Enchantment,Aura
65047ed02ed29fcf3e3df222,,72,Power Sink,Blue,1,{x} {blu} ,Instant,
65047ed02ed29fcf3e3df223,,73,Prodigal Sorcerer,Blue,3,{2} {blu},Creature,Human Wizard
65047ed02ed29fcf3e3df224,,74,Psionic Blast,Blue,3,{2} {blu},Instant,
65047ed02ed29fcf3e3df225,,75,Psychic Venom,Blue ,2,{1} {blu},Enchantment,Aura
65047ed02ed29fcf3e3df226,,76,Sea Serpent,Blue,6,{5} {blu},Creature,Serpent
65047ed02ed29fcf3e3df227,,77,Sirens call,Blue,1,{blu},Instant,
65047ed02ed29fcf3e3df228,,78,Sleight of Mind,Blue,1,{blu},Instant,
65047ed02ed29fcf3e3df229,,79,Spell Blast,Blue,1,{x} {blu} ,Instant,
65047ed02ed29fcf3e3df22a,,80,Stasis,Blue,2,{1} {blu},Enchantment,
65047ed02ed29fcf3e3df22b,,81,Steal Artifact,Blue,4,{2} {blu} {blu},Enchantment,Aura
65047ed02ed29fcf3e3df22c,,82,Thoughtlace,Blue,1,{blu},Instant,
65047ed02ed29fcf3e3df22d,,83,Time Walk,Blue,2,{blu},Sorcery,
65047ed02ed29fcf3e3df22e,,84,Timetwister,Blue,3,{2} {blu},Sorcery,
65047ed02ed29fcf3e3df22f,,85,Twindle,Blue,1,{blu},Instant,
65047ed02ed29fcf3e3df230,,86,Unsummon,Blue,1,{blu},Instant,
65047ed02ed29fcf3e3df231,,87,Vesuvan Doppelganger,Blue,5,{3} {blu} {blu},Creature,Shapeshifter
65047ed02ed29fcf3e3df232,,88,Volcanic Eruption,Blue,3,{x} {blu} {blu} {blu},Sorcery,
65047ed02ed29fcf3e3df233,,89,Wall of Air,Blue,3,{1} {blu} {blu},Creature,Wall
65047ed02ed29fcf3e3df234,,90,Wall of Water,Blue,3,{1} {blu} {blu},Creature,Wall
65047ed02ed29fcf3e3df235,,91,Water Elemental,Blue,5,{3} {blu} {blu},Creature,Elemental
65047ed02ed29fcf3e3df236,,92,Animate Dead,Black,2,{1} {blk},Enchantment,Aura
65047ed02ed29fcf3e3df237,,93,Bad Moon,Black,2,{1} {blk},Enchantment,
65047ed02ed29fcf3e3df238,,94,Black Knight,Black,2,{blk} {blk},Creature,Human Knight
65047ed02ed29fcf3e3df239,,95,Bog Wraith,Black,4,{3} {blk},Creature,Wraith
65047ed02ed29fcf3e3df23a,,96,Contract from Below,Black,1,{blk},Sorcery,
65047ed02ed29fcf3e3df23b,,97,Cursed Land,Black,4,{2} {blk} {blk},Enchantment,Aura
65047ed02ed29fcf3e3df23c,,98,Dark Ritual,Black,1,{blk},Instant,
65047ed02ed29fcf3e3df23d,,99,Darkpact,Black,3,{blk} {blk} {blk},Sorcery,
65047ed02ed29fcf3e3df23e,,100,Deathgrip,Black,2,{blk} {blk},Enchantment,
65047ed02ed29fcf3e3df23f,,101,Deathlance,Black,1,{blk},Instant,
65047ed02ed29fcf3e3df240,,102,Demonic Attorney,Black,3,{1} {blk} {blk},Sorcery,
65047ed02ed29fcf3e3df241,,103,Demonic Hordes,Black,6,{3} {blk} {blk} {blk},Creature,Demon
65047ed02ed29fcf3e3df242,,104,Demonic Tutor,Black,2,{1} {blk},Sorcery,
65047ed02ed29fcf3e3df243,,105,Drain Life,Black,2,{x} {1} {blk},Sorcery,
65047ed02ed29fcf3e3df244,,106,Drudge Skeletons,Black,2,{1} {blk},Creature,Skeleton
65047ed02ed29fcf3e3df245,,107,Evil Presence,Black,1,{blk},Enchantment,Aura
65047ed02ed29fcf3e3df246,,108,Fear,Black,2,{blk} {blk},Enchantment,Aura
65047ed02ed29fcf3e3df247,,109,Frozen Shade,Black,3,{2} {blk} ,Creature,Shade
65047ed02ed29fcf3e3df248,,110,Gloom,Black,3,{2} {blk},Enchantment,
65047ed02ed29fcf3e3df249,,111,Howl From Beyond,Black,1,{x} {blk},Instant,
65047ed02ed29fcf3e3df24a,,112,Hypnotic Specter,Black,3,{1} {blk} {blk},Creature,Specter
65047ed02ed29fcf3e3df24b,,113,Lich,Black,4,{blk} {blk} {blk} {blk},Enchantment,
65047ed02ed29fcf3e3df24c,,114,Lord of the Pit,Black,7,{4} {blk} {blk} {blk},Creature,Demon
65047ed02ed29fcf3e3df24d,,115,Mind Twist,Black,1,{x} {blk},Sorcery,
65047ed02ed29fcf3e3df24e,,116,Nether Shadow,Black,2,{blk} {blk},Creature,Spirit
65047ed02ed29fcf3e3df24f,,117,Nettling Imp,Black,3,{2} {blk},Creature,Imp
65047ed02ed29fcf3e3df250,,118,Nightmare,Black,6,{5} {blk},Creature,Nightmare Horse
65047ed02ed29fcf3e3df251,,119,Paralyze,Black,1,{blk},Enchantment,Aura
65047ed02ed29fcf3e3df252,,120,Pestilence,Black,4,{2} {blk} {blk},Enchantment,
65047ed02ed29fcf3e3df253,,121,Plague Rats,Black,3,{2} {blk},Creature,Rat
65047ed02ed29fcf3e3df254,,122,Raise Dead,Black,1,{blk},Sorcery,
65047ed02ed29fcf3e3df255,,123,Royal Assassin,Black,3,{1} {blk} {blk},Creature,Human Assassin
65047ed02ed29fcf3e3df256,,124,Sacrifice,Black,1,{blk},Instant,
65047ed02ed29fcf3e3df257,,125,Scathe Zombies,Black,3,{2} {blk},Creature,Zombie
65047ed02ed29fcf3e3df258,,126,Scavenging Ghoul,Black,4,{3} {blk},Creature,Zombie
65047ed02ed29fcf3e3df259,,127,Sengir Vampire,Black,5,{3} {blk} {blk},Creature,Vampire
65047ed02ed29fcf3e3df25a,,128,Simulacrum,Black,2,{1} {blk},Instant,
65047ed02ed29fcf3e3df25b,,129,Sinkhole,Black,2,{blk} {blk},Sorcery,
65047ed02ed29fcf3e3df25c,,130,Terror,Black,2,{1} {blk},Instant,
65047ed02ed29fcf3e3df25d,,131,Unholy Strength,Black,1,{blk},Enchantment,Aura
65047ed02ed29fcf3e3df25e,,132,Wall of Bone,Black,3,{2} {blk},Creature,Skeleton Wall
65047ed02ed29fcf3e3df25f,,133,Warp Artifact,Black,2,{blk} {blk},Enchantment,Aura
65047ed02ed29fcf3e3df260,,134,Weakness,Black,1,{blk},Enchantment,Aura
65047ed02ed29fcf3e3df261,,135,Will-o'-the'Wisp,Black,1,{blk},Creature,Spirit
65047ed02ed29fcf3e3df262,,136,Word of Command,Black,2,{blk} {blk},Instant,
65047ed02ed29fcf3e3df263,,137,Zombie Master,Black,3,{1} {blk} {blk},Creature,Zombie
65047ed02ed29fcf3e3df264,,138,Burrowing,Red,1,{r},Enchantment,Aura
65047ed02ed29fcf3e3df265,,139,Chaoslace,Red,1,{r},Instant,
65047ed02ed29fcf3e3df266,,140,Disintegrate,Red,1,{x} {r},Sorcery,
65047ed02ed29fcf3e3df267,,141,Drawon Whelp,Red,4,{2} {r} {r},Creature,Dragon
65047ed02ed29fcf3e3df268,,142,Dwarven Demolition Team,Red,3,{2} {r},Creature,Dwarf
65047ed02ed29fcf3e3df269,,143,Dwarven Warriors,Red,3,{2} {r},Creature,Dwarf Warriors
65047ed02ed29fcf3e3df26a,,144,Earth Elemental,Red,5,{3} {r} {r},Creature,Elemental
65047ed02ed29fcf3e3df26b,,145,Earthbind,Red,1,{r},Enchantment,Aura
65047ed02ed29fcf3e3df26c,,146,Earthquake,Red,1,{x} {r},Sorcery,
65047ed02ed29fcf3e3df26d,,147,False Orders,Red,1,{r},Instant,
65047ed02ed29fcf3e3df26e,,148,Fire Elemental,Red,5,{3} {r} {r},Creature,Elemental
65047ed02ed29fcf3e3df26f,,149,Fireball,Red,1,{x} {r},Sorcery,
65047ed02ed29fcf3e3df270,,150,Firebreathing,Red,1,{r},Enchantment,Aura
65047ed02ed29fcf3e3df271,,151,Flashfires,Red,4,{3} {r},Sorcery,
65047ed02ed29fcf3e3df272,,152,Fork,Red,2,{r} {r},Instant,
65047ed02ed29fcf3e3df273,,153,Goblin Balloon Brigade,Red,1,{r},Instant,
65047ed02ed29fcf3e3df274,,154,Goblin King,Red,3,{1} {r} {r},Creature,Aura
65047ed02ed29fcf3e3df275,,155,Granite Gargoyle,Red,3,{2} {r},Creature,Gargoyle
65047ed02ed29fcf3e3df276,,156,Gray Ogre,Red,3,{2} {r},Creature,Ogre
65047ed02ed29fcf3e3df277,,157,Hill Giant,Red,4,{3} {r},Creature,Giant
65047ed02ed29fcf3e3df278,,158,Hurloon Minotaur,Red,3,{1} {r} {r},Creature,Minotaur
65047ed02ed29fcf3e3df279,,159,Ironclaws Orcs,Red,2,{1} {r},Creature,Orcs
65047ed02ed29fcf3e3df27a,,160,,,,,,
65047ed02ed29fcf3e3df27b,,161,,,,,,
65047ed02ed29fcf3e3df27c,,162,,,,,,
65047ed02ed29fcf3e3df27d,,163,,,,,,
65047ed02ed29fcf3e3df27e,,164,,,,,,
65047ed02ed29fcf3e3df27f,,165,,,,,,
65047ed02ed29fcf3e3df280,,166,,,,,,
65047ed02ed29fcf3e3df281,,167,,,,,,
65047ed02ed29fcf3e3df282,,168,,,,,,
65047ed02ed29fcf3e3df283,,169,,,,,,
65047ed02ed29fcf3e3df284,,170,,,,,,
65047ed02ed29fcf3e3df285,,171,,,,,,
65047ed02ed29fcf3e3df286,,172,,,,,,
65047ed02ed29fcf3e3df287,,173,,,,,,
65047ed02ed29fcf3e3df288,,174,,,,,,
65047ed02ed29fcf3e3df289,,175,,,,,,
65047ed02ed29fcf3e3df28a,,176,,,,,,
65047ed02ed29fcf3e3df28b,,177,,,,,,
65047ed02ed29fcf3e3df28c,,178,,,,,,
65047ed02ed29fcf3e3df28d,,179,,,,,,
65047ed02ed29fcf3e3df28e,,180,,,,,,
65047ed02ed29fcf3e3df28f,,181,,,,,,
65047ed02ed29fcf3e3df290,,182,,,,,,
65047ed02ed29fcf3e3df291,,183,,,,,,
65047ed02ed29fcf3e3df292,,184,,,,,,
65047ed02ed29fcf3e3df293,,185,,,,,,
65047ed02ed29fcf3e3df294,,186,,,,,,
65047ed02ed29fcf3e3df295,,187,,,,,,
65047ed02ed29fcf3e3df296,,188,,,,,,
65047ed02ed29fcf3e3df297,,189,,,,,,
65047ed02ed29fcf3e3df298,,190,,,,,,
65047ed02ed29fcf3e3df299,,191,,,,,,
65047ed02ed29fcf3e3df29a,,192,,,,,,
65047ed02ed29fcf3e3df29b,,193,,,,,,
65047ed02ed29fcf3e3df29c,,194,,,,,,
65047ed02ed29fcf3e3df29d,,195,,,,,,
65047ed02ed29fcf3e3df29e,,196,,,,,,
65047ed02ed29fcf3e3df29f,,197,,,,,,
65047ed02ed29fcf3e3df2a0,,198,,,,,,
65047ed02ed29fcf3e3df2a1,,199,,,,,,
65047ed02ed29fcf3e3df2a2,,200,,,,,,
